,x
334,revolutionmonk sankarshant he is yet another intellectual with kindaaa jnu types so its normal he criticized sachin indvswi
335," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
336,NA
337,NA
338,NA
339, gjha88 thanks to kanhaiyabrigade youth want azadi from jnu unfounate
340,thanks to kanhaiyabrigade youth want azadi from jnu unfounate
341," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
342,NA
343,NA
344," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
345,NA
346,NA
347,NA
348,pbmehta for all his ranting about saffron terror intolerance jnu dadri not a single aicle on jihadi bombings all around indvswi
349," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
350," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
351," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
352,NA
353,NA
354,jnu jeetegaindia
355,NA
356,NA
357," sirjadeja breaking ban team refuse to go home will take admission in jnu for phd in photoshop 

nzvsban banvnz wt20"
358," singhsoumya85 meanwhile somewhere in jnu 
wi
ind
indiedev 
wt20"
359,NA
360,NA
361,NA
362,"meanwhile somewhere in jnu 
wi
ind
indiedev 
wt20"
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
370,NA
371,NA
372,indvmeanwhile in the hostel of jnuafter seeing ind playing well indvswi
373,NA
374,NA
375," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
376," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
377, wakemeup ab army ko gaaliya dene wale jnu type laal salaam wale kaha mar gaye
378,abhi abhi jnu se awaaz aayee hai kanhaiya hum sharminda hai viratkohli pitch pe zinda hai indvswi wt20
379,NA
380,NA
381,NA
382,NA
383,NA
384," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
385,NA
386,NA
387,NA
388," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
389,NA
390,NA
391,NA
392,NA
393,NA
394,moron rahulkanwal u spent lot of time in getting forensic repo of jnu video wl u send sle derbies of kolkata flyover 4 forensic
395," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
396," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
397,rahulkanwal he did apologize indirectly for his 1984emergencycomments yes he didnt admit he made the mistake  was not misunderstood jnu
398,NA
399," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
400,NA
401,NA
402,NA
403,NA
404,"are we really azaad umar khalid 
azadi jnu standwithjnu jnurow india freedom oppression society"
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
412,NA
413,NA
414," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
432,NA
433,NA
434,NA
435,NA
436," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
437,NA
438,NA
439,NA
440," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
441,NA
442,a minute of silence for chandu chandrashekhar ekminutekamaun standwithjnu jnusu jnu watch ek minute ka maun
443," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
444,ye saale hindi commentator are from jnu so much negativity ind india indvwi indvswi cricket wt20 cwct20 kohli dhoni sharma
445," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
446, zeenews sedition row falloutjnu sees decline in applications for admission
447,NA
448," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
449," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
450," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
451," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
452," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
453,NA
454," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
455," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
456," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
457,NA
458," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
459," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
460,NA
461," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
462," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
463," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
464," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
465," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
466," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
467,NA
468," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
469,NA
470," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
471," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
472," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
473,NA
474,NA
475," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
476," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
477,NA
478,NA
479,NA
480," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
481," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
482,NA
483," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
484," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
485," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
486," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
487,NA
488," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
489,NA
490," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
491," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
492," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
493," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
494," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
495," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
496," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
497," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
498," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
499,meanwhile in pakban and jnu
500," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
